Event,Date,White,Black,Result,BlackElo,WhiteElo,ECO
Rated Blitz game,2018.12.06,Maerceci,egormay229,1-0,1725,1672,D20
Rated Blitz game,2018.12.06,cryco,Maerceci,0-1,1661,1665,D37
Rated Blitz game,2018.12.06,Maerceci,greghouseislove,1-0,1605,1652,D20
Rated Blitz game,2018.12.06,karine34,Maerceci,1/2-1/2,1653,1632,D00
Rated Blitz game,2018.12.05,Maerceci,lodewijks,0-1,1740,1661,E90
Rated Blitz game,2018.12.05,petrlx,Maerceci,1-0,1671,1676,C17
Rated Blitz game,2018.12.05,Maerceci,FEZULRO,1-0,1619,1662,A57
Rated Blitz game,2018.12.05,Yazoomate,Maerceci,1-0,1672,1676,C07
Rated Blitz game,2018.12.05,Maerceci,Yazoomate,1-0,1687,1661,D30
Rated Blitz game,2018.12.05,sergeev94,Maerceci,0-1,1651,1642,A11
Rated Blitz game,2018.12.05,milad_razani,Maerceci,0-1,1640,1639,D02
Rated Blitz game,2018.12.05,Maerceci,azevedov,0-1,1738,1648,D20
Rated Blitz game,2018.12.05,Tacurumoto,Maerceci,0-1,1639,1618,D00
Rated Blitz game,2018.12.05,Maerceci,jgn3,0-1,1631,1649,D20
Rated Blitz game,2018.12.05,karimimehdi,Maerceci,0-1,1638,1659,D05
Rated Blitz game,2018.12.05,Maerceci,Cetto,1-0,1602,1629,D11
Rated Blitz game,2018.12.05,FabBurger,Maerceci,1-0,1638,1679,C00
Rated Blitz game,2018.12.05,Maerceci,HasMhd,0-1,1630,1649,D55
Rated Blitz game,2018.12.05,ArdillaArdiente,Maerceci,1-0,1658,1716,D10
Rated Blitz game,2018.12.05,Maerceci,Kilroy2018,0-1,1681,1668,A40
Rated Blitz game,2018.12.05,Maerceci,pipecamacho10,0-1,1630,1680,D30
Rated Blitz game,2018.12.05,origos,Maerceci,1-0,1691,1674,D35
Rated Blitz game,2018.12.05,Maerceci,AM999,1-0,1692,1680,A40
Rated Blitz game,2018.12.05,tozkarasin,Maerceci,1-0,1690,1703,C01
Rated Blitz game,2018.12.05,ucha,Maerceci,1-0,1698,1761,C01
Rated Blitz game,2018.12.05,Maerceci,ucha,1-0,1773,1685,A41
Rated Blitz game,2018.12.05,cdplayer72,Maerceci,0-1,1675,1686,C00
Rated Blitz game,2018.12.05,Maerceci,No_master_10,1-0,1729,1662,A53
Rated Blitz game,2018.12.05,caglayan42,Maerceci,1-0,1673,1642,C00
Rated Blitz game,2018.12.04,Maerceci,obr56,0-1,1730,1683,D11
Rated Blitz game,2018.12.04,zahorsko,Maerceci,0-1,1675,1570,D37
Rated Blitz game,2018.12.04,Sutano,Maerceci,1-0,1685,1691,C07
Rated Blitz game,2018.12.04,Maerceci,AM999,1-0,1684,1675,A40
Rated Blitz game,2018.12.04,Maerceci,anelegis484,0-1,1671,1686,D30
Rated Blitz game,2018.12.04,Maerceci,lidijana,1-0,1654,1676,A40
Rated Blitz game,2018.12.04,lidijana,Maerceci,1-0,1688,1643,A01
Rated Blitz game,2018.12.04,Maerceci,neumeuigra,1-0,1688,1677,D11
Rated Blitz game,2018.12.04,Ravik0711,Maerceci,1-0,1688,1682,C02
Rated Blitz game,2018.12.03,maijad60,Maerceci,1-0,1697,1760,C02
Rated Blitz game,2018.12.03,Maerceci,maijad60,1-0,1773,1684,D30
Rated Blitz game,2018.12.03,darkoni,Maerceci,1-0,1693,1725,C00
Rated Blitz game,2018.12.03,MaximKorban,Maerceci,1-0,1704,1709,C00
Rated Blitz game,2018.12.03,Maerceci,lordcyric,0-1,1797,1712,E12
Rated Blitz game,2018.12.03,Bru117,Maerceci,1-0,1723,1718,A00
Rated Blitz game,2018.12.03,theviper123,Maerceci,0-1,1711,1748,C00
Rated Blitz game,2018.11.29,Maerceci,GroundRazer,1-0,1692,1702,D30
Rated Blitz game,2018.11.29,Maerceci,nking1188,1-0,1759,1689,E10
Rated Blitz game,2018.11.29,Maerceci,Supercerebraco,1-0,1751,1676,E12
Rated Blitz game,2018.11.29,natxo01010,Maerceci,1-0,1689,1607,D00
Rated Blitz game,2018.11.29,Blitzwizzard,Maerceci,0-1,1679,1690,A41
Rated Blitz game,2018.11.29,Maerceci,Albertoamighini,0-1,1681,1690,D30
Rated Blitz game,2018.11.29,ERASERhead1,Maerceci,1-0,1700,1701,C00
Rated Blitz game,2018.11.29,hjamal,Maerceci,0-1,1692,1628,C00
Rated Blitz game,2018.11.29,Maerceci,Hans2439,0-1,1646,1704,A84
Rated Blitz game,2018.11.29,Maerceci,Routine,0-1,1718,1715,D38
Rated Blitz game,2018.11.29,Larry_Kasparov,Maerceci,0-1,1706,1644,D00
Rated Blitz game,2018.11.29,mev1,Maerceci,0-1,1696,1673,D37
Rated Blitz game,2018.11.29,Maerceci,ASKAM,1-0,1715,1684,E90
Rated Blitz game,2018.11.29,Sunny007Inedu,Maerceci,1-0,1695,1682,C01
Rated Blitz game,2018.11.29,Maerceci,AGERA-nihon,1-0,1688,1684,A40
Rated Blitz game,2018.11.29,Maerceci,Sirak,0-1,1698,1695,D30
Rated Correspondence game,2018.11.29,Haken,Maerceci,1-0,1847,2056,D58
Rated Blitz game,2018.11.29,Maerceci,joshiuce,0-1,1774,1704,D11
Rated Blitz game,2018.11.29,Serhio23,Maerceci,1-0,1714,1737,C02
Rated Blitz game,2018.11.29,Maerceci,sigmaphi,0-1,1718,1725,D21
Rated Blitz game,2018.11.28,Maerceci,GrandMonster,0-1,1719,1737,A57
Rated Blitz game,2018.11.28,vigepi16,Maerceci,1-0,1749,1711,C02
Rated Blitz game,2018.11.28,tiwak,Maerceci,1-0,1757,1876,C01
Rated Blitz game,2018.11.28,Maerceci,joni93,1-0,1761,1745,E11
Rated Blitz game,2018.11.28,Maerceci,zikmansea,0-1,1775,1756,A40
Rated Blitz game,2018.11.27,Marcel91,Maerceci,1-0,1766,1820,C01
Rated Blitz game,2018.11.27,robert2,Maerceci,0-1,1755,1742,C00
Rated Blitz game,2018.11.27,Maerceci,new986,0-1,1739,1767,A40
Rated Blitz game,2018.11.27,myman,Maerceci,0-1,1753,1845,C00
Rated Blitz game,2018.11.27,Maerceci,Hanan97,1-0,1816,1739,D08
Rated Blitz game,2018.11.27,DANOLAYA,Maerceci,0-1,1727,1740,C00
Rated Blitz game,2018.11.26,Maerceci,Kalev1992,1-0,1752,1714,D30
Rated Blitz game,2018.11.26,Maerceci,Torpilleur55,0-1,1771,1724,A40
Rated Blitz game,2018.11.26,AlTaMar,Maerceci,0-1,1713,1690,C00
Rated Blitz game,2018.11.25,Maerceci,wallstreetd,1-0,1732,1700,A40
Rated Blitz game,2018.11.25,casanova1971,Maerceci,1-0,1714,1665,C00
Rated Blitz game,2018.11.24,dvillagra,Maerceci,1-0,1726,1707,C07
Rated Blitz game,2018.11.24,oomaoozi,Maerceci,1-0,1742,1648,D05
Rated Blitz game,2018.11.24,Maerceci,Ultrasur,0-1,1743,1754,E60
Rated Blitz game,2018.11.24,Maerceci,DargazChessPlayer,1-0,1734,1742,D06
Rated Blitz game,2018.11.23,Maerceci,jeanrouiller,1-0,1629,1733,A53
Rated Blitz game,2018.11.23,OtuberculoseO,Maerceci,1/2-1/2,1734,1719,D35
Rated Blitz game,2018.11.23,Frenchesco,Maerceci,1-0,1748,1718,D00
Rated Blitz game,2018.11.23,Maerceci,leandrohpruas,1-0,1726,1735,E60
Rated Blitz game,2018.11.23,Jairlrj,Maerceci,0-1,1722,1718,D06
Rated Blitz game,2018.11.23,behnoos,Maerceci,1-0,1738,1683,C02
Rated Blitz game,2018.11.23,Maerceci,excelkoms,1-0,1635,1728,D30
Rated Blitz game,2018.11.23,Maerceci,gorancee89,1-0,1651,1716,D30
Rated Blitz game,2018.11.23,Maerceci,ardid,0-1,1757,1729,D06
Rated Blitz game,2018.11.23,Yusi123,Maerceci,1-0,1745,1712,C00
Rated Blitz game,2018.11.23,PupkovAG,Maerceci,0-1,1729,1770,C02
Rated Blitz game,2018.11.23,Cedric_O,Maerceci,1/2-1/2,1727,1763,D35
Rated Blitz game,2018.11.23,Maerceci,Regis80,1-0,1708,1712,A40
Rated Blitz game,2018.11.23,JmSalih,Maerceci,1-0,1723,1821,C01
Rated Blitz game,2018.11.23,Maerceci,ZenKing,1-0,1702,1708,D55
Rated Blitz game,2018.11.23,Yani_Alf,Maerceci,0-1,1692,1674,B07
Rated Blitz game,2018.11.23,zalOOpa,Maerceci,1-0,1711,1673,D00
Rated Blitz game,2018.11.23,Maerceci,dhany592,1/2-1/2,1723,1710,A40
Rated Blitz game,2018.11.23,Maerceci,brab,1-0,1660,1694,D30
Rated Blitz game,2018.11.22,Maerceci,Florian_94,1-0,1665,1676,D11
Rated Blitz game,2018.11.22,FlashLighter,Maerceci,1-0,1693,1735,A00
Rated Blitz game,2018.11.22,Maerceci,RaulHernandezRomero,0-1,1714,1713,E11
Rated Blitz game,2018.11.22,filip0,Maerceci,1-0,1737,1685,C02
Rated Blitz game,2018.11.22,Maerceci,TutiRahayuSinuhaji,1-0,1715,1715,A43
Rated Blitz game,2018.11.22,deepakdavid,Maerceci,0-1,1693,1681,C02
Rated Blitz game,2018.11.22,Maerceci,demsej,1-0,1659,1669,D30
Rated Blitz game,2018.11.22,marekecm,Maerceci,0-1,1647,1596,C00
Rated Blitz game,2018.11.22,Maerceci,ChessBernardo,1-0,1627,1619,A43
Rated Blitz game,2018.11.22,Japan74,Maerceci,1/2-1/2,1617,1651,A01
Rated Blitz game,2018.11.22,Maerceci,svmultatulisimon,0-1,1656,1647,E12
Rated Blitz game,2018.11.22,fherher,Maerceci,1-0,1685,1654,C00
Rated Blitz game,2018.11.22,Maerceci,Clemmmm,1-0,1644,1648,E90
Rated Blitz game,2018.11.22,Maerceci,R_I_A,1-0,1627,1602,A41
Rated Blitz game,2018.11.22,mostafaaa,Maerceci,1-0,1652,1638,D00
Rated Blitz game,2018.11.22,Maerceci,henrickchess,0-1,1731,1702,D20
Rated Blitz game,2018.11.22,alexromn,Maerceci,0-1,1645,1607,C00
Rated Blitz game,2018.11.22,Maerceci,FOFIVIINIANOS,1-0,1524,1579,A40
Rated Blitz game,2018.11.22,Wiseman1115,Maerceci,0-1,1488,1477,C02
Rated Blitz game,2018.11.22,Arisnotle,Maerceci,0-1,1328,1408,D30
Rated Blitz game,2018.11.22,Suppermario1995,Maerceci,1-0,1500,1502,C01
Rated Bullet game,2018.11.22,GeniCaro,Maerceci,0-1,1796,1765,C00
Rated Bullet game,2018.11.22,Maerceci,GeniCaro,1-0,1775,1786,A43
Rated Bullet game,2018.11.22,GeniCaro,Maerceci,1-0,1797,1763,C00
Rated Bullet game,2018.11.22,Maerceci,GeniCaro,1-0,1773,1787,A43
Rated Bullet game,2018.11.22,Maerceci,reljicmichael,1-0,1759,1778,D30
Rated Bullet game,2018.11.22,Azad7221,Maerceci,1-0,1789,1769,B23
Rated Bullet game,2018.11.22,Maerceci,jauman,0-1,1833,1798,D06
Rated Bullet game,2018.11.22,jauman,Maerceci,0-1,1786,1845,A00
Rated Correspondence game,2018.11.22,Maerceci,KirbyRobobot,1-0,1739,1847,A57
Rated Correspondence game,2018.11.22,Maerceci,Hyoro,1-0,1434,1847,A53
Rated Bullet game,2018.11.22,alexisrw,Maerceci,0-1,1776,1767,C01
Rated Bullet game,2018.11.21,Maerceci,HBKHuidorHBK,1-0,1738,1766,E11
Rated Bullet game,2018.11.21,Maerceci,AnishSomani,0-1,1923,1772,E12
Rated Bullet game,2018.11.21,VecxDoc,Maerceci,0-1,1763,1710,A00
Rated Bullet game,2018.11.21,Jayalero,Maerceci,1-0,1771,1847,D06
Rated Bullet game,2018.11.21,hunara,Maerceci,0-1,1760,1780,A08
Rated Bullet game,2018.11.21,Maerceci,maksim1516,0-1,1725,1772,E10
Rated Bullet game,2018.11.21,MMAcbeth,Maerceci,0-1,1762,1739,C00
Rated Bullet game,2018.11.21,Maerceci,jcc2303,1-0,1782,1751,D30
Rated Bullet game,2018.11.21,erhanakkok,Maerceci,0-1,1741,1725,D05
Rated Bullet game,2018.11.21,Maerceci,alesbevc,1-0,1743,1730,A40
Rated Bullet game,2018.11.21,eivindVSchess,Maerceci,0-1,1719,1724,D37
Rated Bullet game,2018.11.21,Maerceci,NoPlayNoFun,1-0,1661,1710,D30
Rated Bullet game,2018.11.21,rabr,Maerceci,0-1,1706,1490,C02
Rated Bullet game,2018.11.21,Anatolij55,Maerceci,1-0,1716,1699,A11
Rated Bullet game,2018.11.21,Maerceci,Baffo96,1-0,1729,1705,A84
Rated Bullet game,2018.11.20,Maerceci,maksim1516,1-0,1740,1694,E10
Rated Bullet game,2018.11.20,Maerceci,Kosovojesrpsko,1-0,1637,1685,A40
Rated Bullet game,2018.11.20,Kosovojesrpsko,Maerceci,0-1,1675,1647,A00
Rated Bullet game,2018.11.20,Maerceci,Tactical_Death,1-0,1663,1665,D30
Rated Bullet game,2018.11.20,zbozic,Maerceci,0-1,1655,1651,C00
Rated Bullet game,2018.11.20,Maerceci,Ukraniano39,1-0,1638,1645,D52
Rated Bullet game,2018.11.20,skhupitajov,Maerceci,1-0,1654,1681,D06
Rated Bullet game,2018.11.20,Maerceci,Toletum,0-1,1624,1666,D20
Rated Bullet game,2018.11.20,Sarsam1999,Maerceci,1-0,1675,1705,C00
Rated Bullet game,2018.11.20,bigtaedo,Maerceci,0-1,1665,1674,C01
Rated Bullet game,2018.11.20,Maerceci,Toletum,0-1,1650,1676,D21
Rated Bullet game,2018.11.20,Maerceci,Alabamasong,0-1,1684,1686,E11
Rated Bullet game,2018.11.20,MuhamedShamel,Maerceci,0-1,1676,1666,D05
Rated Bullet game,2018.11.20,Maerceci,floresq,1-0,1624,1667,D26
Rated Bullet game,2018.11.20,Maerceci,ahmet187,1-0,1563,1659,A43
Rated Bullet game,2018.11.20,Thusie28,Maerceci,0-1,1649,1660,A00
Rated Bullet game,2018.11.20,Maerceci,Elmelito,0-1,1696,1658,A43
Rated Bullet game,2018.11.20,EmreKoc1,Maerceci,0-1,1647,1655,D35
Rated Bullet game,2018.11.20,nothisisPetrik,Maerceci,1-0,1658,1634,C41
Casual Correspondence game,2018.11.20,Maerceci,IKggos,1-0,1365,1662,D11
Rated Bullet game,2018.11.20,Maerceci,DepperitoR,1-0,1661,1648,D30
Rated Bullet game,2018.11.20,Ukraniano39,Maerceci,0-1,1637,1654,C16
Rated Bullet game,2018.11.20,Maerceci,Samrat096,1-0,1472,1631,D20
Rated Bullet game,2018.11.20,CosmoGolden,Maerceci,0-1,1621,1606,C02
Rated Bullet game,2018.11.20,varuj777,Maerceci,0-1,1613,1509,D00
Rated Bullet game,2018.11.20,chessevann,Maerceci,1-0,1624,1616,D00
Rated Bullet game,2018.11.20,Maerceci,Fern22,1-0,1628,1613,D06
Rated Bullet game,2018.11.20,aomelche,Maerceci,0-1,1602,1608,C15
Rated Bullet game,2018.11.20,Maerceci,CursoryGlance,0-1,1647,1612,D30
Rated Bullet game,2018.11.20,burimjez1,Maerceci,0-1,1601,1617,A00
Rated Bullet game,2018.11.20,Maerceci,amangiapane,1-0,1621,1589,D30
Rated Bullet game,2018.11.20,GoranMagin,Maerceci,1-0,1599,1629,D53
Rated Bullet game,2018.11.20,guy_chaimy,Maerceci,1-0,1609,1622,C01
Rated Bullet game,2018.11.20,Maerceci,guy_chaimy,1-0,1633,1598,D11
Rated Bullet game,2018.11.20,Maerceci,Robotovic,1-0,1537,1589,D30
Rated Bullet game,2018.11.20,MoiragiasG,Maerceci,0-1,1582,1449,C02
Rated Bullet game,2018.11.20,noah_ife,Maerceci,1-0,1588,1738,C01
Rated Bullet game,2018.11.20,Maerceci,rohitbankar,1-0,1540,1579,D30
Rated Bullet game,2018.11.20,Munguntulga,Maerceci,0-1,1570,1529,B40
Rated Bullet game,2018.11.20,Maerceci,Angelitalinda,0-1,1602,1580,D07
Rated Bullet game,2018.11.19,Maerceci,samguitian,1-0,1552,1570,E92
Rated Bullet game,2018.11.19,PlexusQuartz,Maerceci,0-1,1559,1555,D06
Rated Bullet game,2018.11.19,DickVigarista,Maerceci,1-0,1574,1421,D06
Rated Bullet game,2018.11.19,feflopizer,Maerceci,1-0,1586,1545,A11
Rated Bullet game,2018.11.19,Maerceci,feflopizer,1-0,1555,1576,A43
Rated Bullet game,2018.11.19,Afou,Maerceci,1-0,1586,1582,C15
Rated Bullet game,2018.11.19,Maerceci,Afou,1-0,1593,1575,A40
Rated Bullet game,2018.11.19,marlowetheshamus,Maerceci,1-0,1586,1586,D00
Rated Bullet game,2018.11.19,Maerceci,Doctore_kv,0-1,1574,1597,A40
Rated Bullet game,2018.11.19,Maerceci,ETHANxBRADBERRY,0-1,1611,1608,D30
Rated Bullet game,2018.11.19,ETHANxBRADBERRY,Maerceci,0-1,1596,1622,C00
Rated Bullet game,2018.11.19,Maerceci,xavisky,0-1,1714,1604,A40
Rated Bullet game,2018.11.19,Endgame_Magic37,Maerceci,0-1,1592,1613,D02
Rated Bullet game,2018.11.19,DefineComputer,Maerceci,1-0,1603,1590,D12
Rated Bullet game,2018.11.19,Maerceci,maggotfarmer,0-1,1524,1617,A40
Rated Bullet game,2018.11.19,Pablowp10,Maerceci,1-0,1626,1651,B13
Rated Bullet game,2018.11.19,Maerceci,dario7218,0-1,1624,1637,D25
Rated Bullet game,2018.11.19,morpheuzz,Maerceci,1-0,1649,1609,D58
Rated Bullet game,2018.11.19,Adelino,Maerceci,0-1,1636,1736,D05
Rated Bullet game,2018.11.19,Maerceci,dean_stone,0-1,1683,1645,D20
Rated Bullet game,2018.11.19,Fra_liturri,Maerceci,1-0,1657,1630,D37
Rated Correspondence game,2018.11.19,Maerceci,Xandawesome,1-0,1754,1500,D30
Rated Bullet game,2018.11.19,xarine,Maerceci,1-0,1666,1698,A16
Rated Bullet game,2018.11.19,Maerceci,olga_74,1-0,1629,1656,D60
Rated Bullet game,2018.11.19,Maerceci,carloss9,0-1,1670,1667,D70
Rated Bullet game,2018.11.19,nata762,Maerceci,0-1,1661,1487,C02
Rated Bullet game,2018.11.19,Maerceci,sunloong,0-1,1964,1665,E12
Rated Bullet game,2018.11.19,Tiger_Pdu,Maerceci,1-0,1673,1740,D00
Rated Bullet game,2018.11.19,Maerceci,pjorge33,1-0,1620,1664,D30
Rated Bullet game,2018.11.19,Steveliu32,Maerceci,1-0,1678,1557,D06
Rated Bullet game,2018.11.19,Maerceci,Sonkaya,1-0,1501,1672,D06
Rated Bullet game,2018.11.19,Maerceci,Memm,1-0,1652,1662,A51
Rated Bullet game,2018.11.19,cristofer_escobar,Maerceci,1-0,1669,1807,D01
Rated Bullet game,2018.11.19,Maerceci,annas220285,1-0,1572,1661,D08
Rated Bullet game,2018.11.18,zloy_geka,Maerceci,1-0,1672,1639,D37
Rated Bullet game,2018.11.18,Maerceci,zloy_geka,1-0,1649,1662,A84
Rated Bullet game,2018.11.18,zloy_geka,Maerceci,0-1,1652,1659,D37
Rated Bullet game,2018.11.18,Maerceci,AnthonyJ0shua,0-1,1727,1660,D44
Rated Bullet game,2018.11.18,AnthonyJ0shua,Maerceci,0-1,1647,1740,C00
Rated Bullet game,2018.11.18,Maerceci,AnthonyJ0shua,1-0,1754,1633,D70
Rated Bullet game,2018.11.18,Ahfjo,Maerceci,0-1,1623,1624,C00
Rated Bullet game,2018.11.18,santastico,Maerceci,0-1,1612,1621,D37
Rated Bullet game,2018.11.18,Maerceci,Tapyrr,1-0,1638,1600,E11
Rated Bullet game,2018.11.18,birbant,Maerceci,1-0,1612,1573,D05
Rated Bullet game,2018.11.18,Maerceci,birbant,0-1,1562,1624,D21
Rated Bullet game,2018.11.18,natxo01010,Maerceci,1-0,1634,1674,D00
Rated Bullet game,2018.11.18,Maerceci,danbervi98,0-1,1623,1645,D93
Rated Bullet game,2018.11.18,lebrewski,Maerceci,0-1,1636,1578,C18
Rated Bullet game,2018.11.18,learningtofly,Maerceci,1-0,1647,1620,D00
Rated Bullet game,2018.11.18,Maerceci,taylor39,0-1,1617,1659,D30
Rated Bullet game,2018.11.18,Maerceci,crimsoncrusader,1-0,1634,1649,A40
Rated Bullet game,2018.11.18,LuliHas,Maerceci,1-0,1656,1791,C01
Rated Bullet game,2018.11.18,Maerceci,bmatt,0-1,1638,1667,D11
Rated Bullet game,2018.11.18,AndersSLinden,Maerceci,1-0,1673,1824,C01
Rated Bullet game,2018.11.18,ernesto_marrero,Maerceci,0-1,1661,1734,B23
Rated Bullet game,2018.11.18,KarlRoll,Maerceci,1-0,1671,1668,D05
Rated Bullet game,2018.11.18,Maerceci,KarlRoll,1-0,1678,1660,D21
Rated Bullet game,2018.11.18,Maerceci,sahalinec,0-1,1833,1666,D11
Rated Bullet game,2018.11.18,theprogress,Maerceci,1-0,1675,1721,D35
Rated Bullet game,2018.11.18,Maerceci,nmdjazi,1-0,1518,1669,D30
Rated Bullet game,2018.11.18,Maerceci,hello_old_bean,1-0,1656,1659,E10
Rated Bullet game,2018.11.18,bebold,Maerceci,1-0,1667,1726,D06
Rated Bullet game,2018.11.18,sopjani,Maerceci,0-1,1659,1592,D06
Rated Bullet game,2018.11.18,Maerceci,bujok,1-0,1651,1648,A40
Rated Bullet game,2018.11.18,Maerceci,UKOON,0-1,1661,1659,D25
Rated Bullet game,2018.11.18,BuLLetChess1,Maerceci,0-1,1648,1659,B01
Rated Bullet game,2018.11.18,navlelo,Maerceci,1-0,1661,1562,C00
Rated Bullet game,2018.11.18,Maerceci,Bustermadman,1-0,1666,1650,E61
Rated Bullet game,2018.11.18,videk,Maerceci,0-1,1639,1656,D06
Rated Bullet game,2018.11.18,Maerceci,salah71,1-0,1598,1630,D43
Rated Bullet game,2018.11.18,tropical10,Maerceci,1-0,1641,1636,C00
Rated Bullet game,2018.11.18,traore,Maerceci,0-1,1629,1653,D01
Rated Bullet game,2018.11.18,Maerceci,uranor,0-1,1766,1636,D30
Rated Bullet game,2018.11.18,zeeus80,Maerceci,1-0,1649,1553,C00
Rated Bullet game,2018.11.18,Maerceci,krischan941,0-1,1703,1659,A43
Rated Bullet game,2018.11.18,Maerceci,liorrotem,0-1,1707,1668,A43
Rated Bullet game,2018.11.18,Goldentrophy,Maerceci,1-0,1682,1570,C02
Rated Bullet game,2018.11.18,ehsan_shahbaznejad,Maerceci,1-0,1687,1858,D05
Rated Bullet game,2018.11.18,Maerceci,pi18,0-1,1710,1697,A40
Rated Bullet game,2018.11.18,O_O_-1,Maerceci,0-1,1690,1566,A00
Rated Bullet game,2018.11.18,Maerceci,e_1000,1-0,1760,1678,A40
Rated Bullet game,2018.11.18,faraonlatino,Maerceci,1-0,1688,1699,C01
Rated Bullet game,2018.11.18,Maerceci,burakkayra2009,0-1,1704,1697,E60
Rated Bullet game,2018.11.18,msyoung2012,Maerceci,1-0,1707,1731,C00
Rated Bullet game,2018.11.18,Maerceci,Njonjo1,1-0,1668,1698,D57
Rated Bullet game,2018.11.18,daguev,Maerceci,0-1,1689,1638,C00
Rated Bullet game,2018.11.18,Stefan_cel_Tare,Maerceci,0-1,1678,1681,C00
Rated Bullet game,2018.11.18,Maerceci,DenizCAL,0-1,1690,1689,E61
Rated Bullet game,2018.11.18,Maerceci,rhythmpuneet,0-1,1707,1699,A43
Rated Bullet game,2018.11.18,rhythmpuneet,Maerceci,1-0,1710,1697,C00
Rated Bullet game,2018.11.18,Maerceci,rhythmpuneet,1-0,1707,1699,A43
Rated Bullet game,2018.11.18,Maerceci,Stefan_cel_Tare,1-0,1692,1688,D06
Rated Bullet game,2018.11.18,julian26,Maerceci,1-0,1701,1634,C01
Rated Bullet game,2018.11.18,Maerceci,uranor,0-1,1757,1710,E10
Rated Bullet game,2018.11.18,lathimos,Maerceci,1-0,1720,1723,D06
Rated Bullet game,2018.11.17,Maerceci,abidemytime,0-1,1814,1728,A40
Rated Bullet game,2018.11.16,Maerceci,setyabagus,1-0,1764,1716,D55
Rated Bullet game,2018.11.16,Maerceci,marmat30,1-0,1618,1708,A43
Rated Bullet game,2018.11.16,marmat30,Maerceci,0-1,1700,1627,C00
Rated Bullet game,2018.11.16,ghagins,Maerceci,0-1,1689,1697,C00
Rated Bullet game,2018.11.16,GlockiGlocksen,Maerceci,1-0,1699,1733,D00
Rated Bullet game,2018.11.16,Maerceci,Capivara_mestre,1-0,1621,1691,D55
Rated Bullet game,2018.11.16,chesscobax,Maerceci,1-0,1699,1776,A00
Rated Bullet game,2018.11.16,Maerceci,ohcomeon,1-0,1563,1692,A40
Rated Bullet game,2018.11.16,Maerceci,Ivehitmyceiling,0-1,1728,1702,D30
Rated Bullet game,2018.11.16,rburra,Maerceci,0-1,1693,1646,D00
Rated Bullet game,2018.11.16,condeto,Maerceci,0-1,1682,1711,C02
Rated Bullet game,2018.11.16,Maerceci,javierdecolombia,0-1,1720,1691,D11
Rated Bullet game,2018.11.16,javierdecolombia,Maerceci,1-0,1701,1710,C00
Rated Bullet game,2018.11.16,Maerceci,Pimpolho,0-1,1669,1713,E90
Rated Bullet game,2018.11.16,Maerceci,jua109,1-0,1687,1703,A41
Rated Bullet game,2018.11.16,AndreDantasBR,Maerceci,1-0,1717,1603,D05
Rated Bullet game,2018.11.16,Maerceci,tinmarc,0-1,1735,1727,A40
Rated Bullet game,2018.11.16,e2e4alex,Maerceci,0-1,1714,1825,C00
Rated Bullet game,2018.11.16,Maerceci,Tkrans,0-1,1707,1725,E12
Rated Bullet game,2018.11.16,Maerceci,djole77,1-0,1868,1710,A40
Rated Bullet game,2018.11.16,Kirales,Maerceci,1-0,1719,1745,A00
Rated Bullet game,2018.11.16,Maerceci,radiradiucha,1-0,1643,1711,A84
Rated Bullet game,2018.11.16,jbutzu,Maerceci,0-1,1702,1638,A00
Rated Bullet game,2018.11.16,Baku2018,Maerceci,1-0,1705,2014,A06
Rated Bullet game,2018.11.16,DrGlum,Maerceci,0-1,1694,1719,D37
Rated Bullet game,2018.11.16,Maerceci,Stan15,0-1,1735,1704,D26
Rated Bullet game,2018.11.16,Maerceci,ALISQ,1-0,1687,1694,D21
Rated Bullet game,2018.11.16,Maerceci,burimjez1,1-0,1670,1684,A40
Rated Bullet game,2018.11.16,Maerceci,Marckony,1-0,1723,1672,D06
Rated Bullet game,2018.11.16,insanerk,Maerceci,0-1,1663,1602,D00
Rated Bullet game,2018.11.16,natebxxxx,Maerceci,0-1,1654,1612,D02
Rated Bullet game,2018.11.16,Maerceci,natebxxxx,1-0,1622,1644,E10
Rated Bullet game,2018.11.16,Kriobiolog,Maerceci,1-0,1656,1597,C00
Rated Bullet game,2018.11.16,Maerceci,arda_zmir,0-1,1704,1666,D30
Rated Bullet game,2018.11.16,CheapDirtyTactics,Maerceci,1-0,1675,1712,A11
Rated Bullet game,2018.11.16,Maerceci,CheapDirtyTactics,1-0,1724,1663,A43
Rated Bullet game,2018.11.16,CheapDirtyTactics,Maerceci,1-0,1672,1715,A11
Rated Bullet game,2018.11.16,Respite,Maerceci,0-1,1660,1705,C00
Rated Bullet game,2018.11.16,Maerceci,ljubitel,0-1,1730,1669,D12
Rated Bullet game,2018.11.16,Maerceci,Juanill,0-1,1681,1679,A40
Rated Bullet game,2018.11.16,Qblack,Maerceci,1-0,1691,1642,D53
Rated Bullet game,2018.11.16,Inkognit,Maerceci,1-0,1701,1711,B23
Rated Bullet game,2018.11.16,MiLamentoDiTutto,Maerceci,1-0,1712,1703,C02
Rated Bullet game,2018.11.16,Maerceci,twerkaaholic,1-0,1719,1701,E10
Rated Bullet game,2018.11.16,Maerceci,Joslinmeister,0-1,1695,1712,A31
Rated Bullet game,2018.11.16,SnowSack,Maerceci,0-1,1700,1738,B40
Rated Bullet game,2018.11.16,GLEAO,Maerceci,1-0,1710,1730,D00
Rated Bullet game,2018.11.16,aminstudio,Maerceci,1-0,1717,1827,C00
